iter	Logloss
162	0.2505753757
163	0.2494658168
164	0.2487850425
165	0.2481164971
166	0.2472962587
167	0.2464019556
168	0.245617321
169	0.2446554678
170	0.243384687
171	0.2425462699
172	0.241735529
173	0.2412579069
174	0.2403405272
175	0.2394066642
176	0.2387866424
177	0.2375874774
178	0.2366868321
179	0.2359988523
180	0.2353598512
181	0.2349105961
182	0.2338591054
183	0.2329703123
184	0.2318757925
185	0.2310308135
186	0.2303279987
187	0.2295568333
188	0.2289381459
189	0.2283671344
190	0.2272282824
191	0.226456285
192	0.2260061821
193	0.2254403511
194	0.2244620618
195	0.2240271549
196	0.2234506489
197	0.2225419033
198	0.2219694475
199	0.2214041345
200	0.2204714803
201	0.2195447757
202	0.219083056
203	0.2186001436
204	0.2180856775
205	0.2174037101
206	0.2166185261
207	0.2161167914
208	0.215608636
209	0.2145964069
210	0.2139169669
211	0.2133311519
212	0.2124384185
213	0.2115644447
214	0.2109137484
215	0.2101703848
216	0.2097017579
217	0.2093034595
218	0.2089205769
219	0.2079668084
220	0.2067706889
221	0.2059935268
222	0.2050748911
223	0.2039235119
224	0.2034377424
225	0.2026978481
226	0.2018654906
227	0.2013212761
228	0.2006448502
229	0.1998676253
230	0.1992616222
231	0.198428464
232	0.1976204546
233	0.1966845351
234	0.1956146617
235	0.1950175124
236	0.1943106789
237	0.193418495
238	0.1927096834
239	0.1920688143
240	0.1915522132
241	0.1909356137
242	0.1902379793
243	0.189606749
244	0.1889257235
245	0.1882693758
246	0.1873492488
247	0.1865518829
248	0.1858005759
249	0.1853789341
250	0.1848276083
251	0.1839854864
252	0.1834309896
253	0.1828707785
254	0.1823545856
255	0.181975659
256	0.1815346455
257	0.1808178592
258	0.1800019692
259	0.179386343
260	0.1788701815
261	0.1784816161
262	0.177800936
263	0.1771003346
264	0.1765466698
265	0.1758114065
266	0.1751649488
267	0.1750414185
268	0.1744588216
269	0.1738841053
270	0.1731409144
271	0.1725619595
272	0.1719977139
273	0.1711673815
274	0.1704988362
275	0.1700526736
276	0.1697204653
277	0.1691239282
278	0.1686062597
279	0.168001277
280	0.1673439874
281	0.166826413
282	0.1662774106
283	0.1658384849
284	0.1655657576
285	0.1649665676
286	0.1646057254
287	0.1641877571
288	0.1637535095
289	0.1633549757
290	0.1629050141
291	0.1625029795
292	0.1619658294
293	0.1612577713
294	0.1608136809
295	0.1602477399
296	0.1595137325
297	0.1588890798
298	0.158404833
299	0.1580861723
300	0.1574381762
301	0.1567486422
302	0.1563114904
303	0.1555573577
304	0.1550771768
305	0.1546002141
306	0.153999046
307	0.1538183581
308	0.1533544093
309	0.1530782441
310	0.1525924745
311	0.1523131068
312	0.1521839095
313	0.1517079671
314	0.1513681765
315	0.1510077739
316	0.1505954099
317	0.150182308
318	0.1497797711
319	0.149250266
320	0.1487151566
321	0.1483172507
322	0.1480713519
323	0.1477658464
324	0.147195039
325	0.1469702073
326	0.1467423302
327	0.1462742527
328	0.1459497836
329	0.1457115142
330	0.1453910953
331	0.1450822932
332	0.1444437317
333	0.1441381007
334	0.1436907607
335	0.1432817247
336	0.1428243221
337	0.1426630687
338	0.1422592917
339	0.1417591268
340	0.1415769946
341	0.1408900037
342	0.1404765722
343	0.1399052153
344	0.1395381095
345	0.1390499225
346	0.138535111
347	0.1382149276
348	0.137848544
349	0.1374296337
350	0.1369520117
351	0.1366325033
352	0.1363627273
353	0.1359966576
354	0.1357031771
355	0.135370231
356	0.1349224828
357	0.1344306695
358	0.1338739591
359	0.1335385326
360	0.1332031376
361	0.1327803027
362	0.132296778
363	0.1320541131
364	0.1316727218
365	0.1312889523
366	0.1308512433
367	0.1304487613
368	0.1302056803
369	0.1299591143
370	0.1294255119
371	0.1289408491
372	0.1285780604
373	0.1281590167
374	0.1279495067
375	0.1275181633
376	0.1274841528
377	0.12717955
378	0.1268228366
379	0.1264378504
380	0.1262194159
381	0.125987881
382	0.1255879422
383	0.125308182
384	0.1251126199
385	0.1247691794
386	0.1242297844
387	0.1239126621
388	0.1236575562
389	0.1232612987
390	0.1229007627
391	0.1225204311
392	0.1221797535
393	0.1219432815
394	0.1216263791
395	0.1213756294
396	0.1211211829
397	0.1208758335
398	0.1206210415
399	0.1203949383
400	0.1200482011
401	0.1196956478
402	0.1194283364
403	0.1189768128
404	0.1186126976
405	0.118228567
406	0.1177594142
407	0.1174293958
408	0.1171783871
409	0.1168645694
410	0.1165229421
411	0.1161435288
412	0.1159736884
413	0.1156074697
414	0.1152998999
415	0.1150926111
416	0.1146861653
417	0.1144923771
418	0.1140487341
419	0.1137423103
420	0.1134003847
421	0.113206416
422	0.1129154943
423	0.1126760475
424	0.1123757617
425	0.1119946531
426	0.1117919718
427	0.1114163811
428	0.1112005053
429	0.110874435
430	0.1106294075
431	0.1100610961
